QNo,Subject,Topic,Question,OptA,OptB,OptC,OptD,Answer,Posted
1,UK History,Katyuri Dynasty,Kartikeyapura kis dynasty ki rajdhani thi?,Chand,Katyuri,Parmar,Panwar,B) Katyuri,
2,UK History,Katyuri Dynasty,Katyuri vansh ke shasako ne konse type ke sikke chalaye?,Lakshmi type,Chitreshwar type,Ganesh type,Surya type,B) Chitreshwar type,
3,UK History,Katyuri Dynasty,Katyuri vansh ka kaal kya tha?,5th-9th century,7th-11th century,9th-13th century,3rd-7th century,B) 7th-11th century,
4,UK History,Katyuri Dynasty,Baijnath Mandir kis dynasty se sambandhit hai?,Parmar,Chand,Katyuri,Gorkha,C) Katyuri,
5,UK History,Katyuri Dynasty,Katyuri vansh ka prathm shasak kaun tha?,Laliteshwar Dev,Basantdev,Nimbar Dev,Ajay Pal,B) Basantdev,
6,UK History,Parmar Dynasty,Garhwal ka unifier kaun tha?,Kanak Pal,Ajay Pal,Fateh Shah,Prithvipati Shah,B) Ajay Pal,
7,UK History,Parmar Dynasty,52 Garhon ko ek karke GARHWAL naam kisne diya?,Balbhadra Shah,Prithvipati Shah,Ajay Pal,Mahipati Shah,C) Ajay Pal,
8,UK History,Parmar Dynasty,Parmar vansh ki rajdhani kahan thi?,Almora,Srinagar (Garhwal),Champawat,Dehradun,B) Srinagar (Garhwal),
9,UK History,Parmar Dynasty,Guru Ram Rai ko Dehradun kisne bulaya?,Ajay Pal,Prithvipati Shah,Fateh Shah,Balbhadra Shah,C) Fateh Shah,
10,UK History,Parmar Dynasty,Nak-Kati Rani ke naam se kaun jaani jaati hain?,Rani Padmini,Rani Karnavati,Rani Durgavati,Rani Laxmi Bai,B) Rani Karnavati,
11,UK History,Parmar Dynasty,Parmar vansh ka sansthapak kaun tha?,Ajay Pal,Bhanu Pratap,Kanak Pal,Sudarshan Shah,C) Kanak Pal,
12,UK History,Parmar Dynasty,Garv-Bhanjan ki upaadhi kis Parmar shasak ki thi?,Ajay Pal,Fateh Shah,Prithvipati Shah,Balbhadra Shah,A) Ajay Pal,
