CLUSTER,TOPIC / SUB-TOPIC,2016,2021,2024,2025,TOTAL HITS,REPEAT CONFIRMED,PRIORITY,NOTES / TRAP ALERTS
Cluster 1: Wildlife & Protected Areas,National Parks — establishment years,✓,✓,✓,✓,8,YES — every year,⚡ CRITICAL,TRAP: Govind Wildlife Sanctuary (1955) vs Govind National Park (1989) — two different entities
Cluster 1: Wildlife & Protected Areas,Wildlife Sanctuaries — location/district,✓,✓,✓,✓,,,,"Format: 'In which district is X sanctuary located?' — memorize district mapping"
Cluster 1: Wildlife & Protected Areas,Key species & biodiversity,✗,✓,✓,✓,,,,Musk deer / Snow leopard / Himalayan Monal frequently tested
Cluster 1: Wildlife & Protected Areas,Biosphere Reserves (Nanda Devi etc.),✓,✗,✓,✓,,,,"UNESCO status + year of declaration both tested"
Cluster 1: Wildlife & Protected Areas,Ramsar Sites in Uttarakhand,✗,✗,✓,✓,,,,Newer additions (post-2020) being tested now — keep updated
,,,,,,,,,
Cluster 2: District-wise Comparisons,Sex ratio — highest/lowest district,✓,✓,✓,✓,11,YES — FORMAT repeats,⚡ CRITICAL,"FORMAT TRAP: Stat changes but structure stays same — 'Which district has highest/lowest X?'"
Cluster 2: District-wise Comparisons,Literacy rate — highest/lowest district,✓,✓,✓,✗,,,,"Census 2011 data still being used as of 2025 paper"
Cluster 2: District-wise Comparisons,Population — highest/lowest district,✓,✓,✗,✓,,,,Haridwar (highest) vs Chamoli (lowest density)
Cluster 2: District-wise Comparisons,Forest cover percentage by district,✗,✓,✓,✓,,,,"Forest Survey of India reports — latest year always tested"
Cluster 2: District-wise Comparisons,Area — largest/smallest district,✓,✗,✓,✓,,,,"Chamoli (largest) vs Champawat (smallest)"
Cluster 2: District-wise Comparisons,SC/ST population by district,✗,✓,✓,✓,,,,Newer angle — post-2021 papers started asking this
Cluster 2: District-wise Comparisons,River/drainage system by district,✓,✓,✗,✓,,,,Which river passes through which district
,,,,,,,,,
Cluster 3: Uttarakhand Geography,Glaciers — location & rivers originating,✓,✓,✓,✓,7,YES,🔴 HIGH,"Gangotri / Pindari / Milam / Satopanth — river origin most common angle"
Cluster 3: Uttarakhand Geography,Mountain Passes (Darr/La),✓,✓,✓,✗,,,,"Lipulekh / Mana / Niti — border passes with China most tested"
Cluster 3: Uttarakhand Geography,Lakes — location and type,✓,✓,✓,✓,,,,"Glacial vs tectonic vs man-made classification tested"
Cluster 3: Uttarakhand Geography,Rivers — origin points & tributaries,✓,✓,✓,✓,,,,Alaknanda system (5 Prayags) is UKPSC favourite
Cluster 3: Uttarakhand Geography,Valleys & Bugyals,✗,✓,✓,✓,,,,Newer trend — Valley of Flowers + alpine meadows
Cluster 3: Uttarakhand Geography,Doons and Bhabhar/Tarai belt,✓,✓,✗,✓,,,,"Physiographic division: Shiwalik / Doon / Bhabhar / Tarai"
,,,,,,,,,
Cluster 4: Tribes & Culture,Major tribes (Bhotiya/Jaunsari/Tharu/Buksa/Raji),✓,✓,✓,✓,9,YES,🔴 HIGH,"TRAP: Raji is smallest tribe (frequently asked) — don't confuse with Van Raji"
Cluster 4: Tribes & Culture,Traditional fairs & festivals,✓,✓,✓,✓,,,,"Nanda Devi Raj Jat Yatra (12-yearly) — year of last occurrence tested"
