CLUSTER,TOPIC / SUB-TOPIC,2016,2021,2024,2025,TOTAL HITS,REPEAT PATTERN,PRIORITY,UKPSC-SPECIFIC NOTES
Cluster A: Ancient India,Indus Valley Civilization — sites/features,✓,✓,✓,✗,7,Regular,🔴 HIGH,"UKPSC asks factual: 'which site had X feature' vs UPSC analytical"
Cluster A: Ancient India,Vedic Period — society/economy,✓,✗,✓,✓,,,,Rig Veda vs Later Vedic distinction tested
Cluster A: Ancient India,Mauryan Empire — Ashoka/administration,✓,✓,✓,✓,,,,"Ashoka edicts (Kalsi in UK context) / Arthashastra"
Cluster A: Ancient India,Gupta Period — Golden Age,✓,✓,✗,✓,,,,Science/literature achievements
Cluster A: Ancient India,Buddhism & Jainism — councils/teachings,✓,✓,✓,✓,,,,"Buddhist councils (1st & 3rd) + Jain Tirthankaras — always 1-2 Qs"
Cluster A: Ancient India,Sangam Literature & South Indian dynasties,✗,✓,✓,✓,,,,Increasing trend — Chola/Pandya administration

,,,,,,,,,
Cluster B: Medieval India,Delhi Sultanate — dynasty sequence/admin,✓,✓,✓,✓,8,Regular,🔴 HIGH,"Iltutmish / Alauddin Khalji reforms — factual Qs dominate"
Cluster B: Medieval India,Mughal Empire — Akbar to Aurangzeb,✓,✓,✓,✓,,,,"Mansabdari / Revenue systems + cultural contributions"
Cluster B: Medieval India,Bhakti & Sufi Movement,✓,✓,✓,✗,,,,Saints + teachings + regional spread
Cluster B: Medieval India,Vijayanagara Empire,✓,✗,✓,✓,,,,Architecture + administration
Cluster B: Medieval India,Maratha Empire — Shivaji/Peshwas,✓,✓,✗,✓,,,,Ashtapradhan system tested

,,,,,,,,,
Cluster C: Modern India & Freedom Struggle,Revolt of 1857 — causes/leaders/centres,✓,✓,✓,✓,10,ALWAYS appears,⚡ CRITICAL,"UKPSC also tests UK's role in 1857 — Kalu Mahara / Bishen Singh"
Cluster C: Modern India & Freedom Struggle,INC — formation to split,✓,✓,✓,✓,,,,"Moderates vs Extremists vs Revolutionaries"
Cluster C: Modern India & Freedom Struggle,Gandhi's movements (NCM/CDM/QIM),✓,✓,✓,✓,,,,"Chronology + specific events within each"
Cluster C: Modern India & Freedom Struggle,Revolutionary movements & leaders,✓,✓,✓,✗,,,,"Bhagat Singh / Chandrashekhar Azad / Surya Sen"
Cluster C: Modern India & Freedom Struggle,Constitutional development (Acts 1773-1947),✓,✓,✓,✓,,,,"UKPSC loves this — Regulating Act through Independence Act"
Cluster C: Modern India & Freedom Struggle,Socio-religious reform movements,✓,✓,✓,✓,,,,"Brahmo Samaj / Arya Samaj / Prarthana Samaj"
Cluster C: Modern India & Freedom Struggle,Partition & Independence,✓,✗,✓,✓,,,,Mountbatten Plan / Cabinet Mission / Cripps Mission
Cluster C: Modern India & Freedom Struggle,Peasant & Tribal movements,✗,✓,✓,✓,,,,Munda / Santhal / Indigo + local Kumaon revolts

,,,,,,,,,
Cluster D: Constitutional Framework,Fundamental Rights — Articles 14-32,✓,✓,✓,✓,12,ALWAYS appears,⚡ CRITICAL,"UKPSC tests article numbers directly — 'Which article deals with X?'"
Cluster D: Constitutional Framework,DPSP — Articles 36-51,✓,✓,✓,✓,,,,"Classification: Socialist / Gandhian / Liberal"
Cluster D: Constitutional Framework,Fundamental Duties — Article 51A,✓,✗,✓,✓,,,,11 duties + additions (11th duty on education)
Cluster D: Constitutional Framework,Constitutional Amendments — major,✓,✓,✓,✓,,,,"7th/42nd/44th/73rd/74th/86th/101st"
Cluster D: Constitutional Framework,Preamble — keywords & amendments,✓,✓,✓,✗,,,,42nd Amendment: Socialist/Secular/Integrity added
Cluster D: Constitutional Framework,Schedules of Constitution,✓,✓,✓,✓,,,,"5th/6th/8th/9th Schedules — content + relevance"

,,,,,,,,,
Cluster E: Governance & Institutions,Parliament — powers/procedures,✓,✓,✓,✓,9,Regular,🔴 HIGH,"Money Bill vs Finance Bill / Joint Sitting / No-confidence"
Cluster E: Governance & Institutions,President & Governor — powers,✓,✓,✓,✓,,,,"Discretionary powers of Governor — UKPSC state angle"
Cluster E: Governance & Institutions,Supreme Court & High Courts,✓,✓,✓,✗,,,,Jurisdiction types + Article 32 vs 226
Cluster E: Governance & Institutions,Panchayati Raj (73rd Amendment),✓,✓,✓,✓,,,,"Also tests Uttarakhand Panchayati Raj Act provisions"
Cluster E: Governance & Institutions,Election Commission,✓,✓,✓,✓,,,,EVM/VVPAT + Model Code of Conduct
Cluster E: Governance & Institutions,CAG / UPSC / Finance Commission,✓,✓,✗,✓,,,,Constitutional bodies — appointment + functions
Cluster E: Governance & Institutions,Emergency provisions (352/356/360),✓,✓,✓,✓,,,,"44th Amendment changes — always tested"
Cluster E: Governance & Institutions,Centre-State Relations,✗,✓,✓,✓,,,,"3 lists + Sarkaria/Punchhi Commission"
Cluster E: Governance & Institutions,Urban Local Govt (74th Amendment),✓,✗,✓,✓,,,,Municipality types + constitutional provisions

,,,,,,,,,
Cluster F: Physical Geography,Plate Tectonics & Earthquakes,✓,✓,✓,✓,8,Regular,🔴 HIGH,"UKPSC adds Himalayan seismic zones — Zone IV/V for UK"
Cluster F: Physical Geography,Indian Monsoon system,✓,✓,✓,✓,,,,"Western Disturbance (UK winter rainfall) always tested"
Cluster F: Physical Geography,Soil types — classification,✓,✓,✓,✗,,,,"Alluvial / Black / Red / Laterite — distribution + crops"
Cluster F: Physical Geography,Rivers of India — systems & projects,✓,✓,✓,✓,,,,"Peninsular vs Himalayan + inter-linking projects"
Cluster F: Physical Geography,Climate zones & vegetation,✓,✓,✗,✓,,,,Koppen classification + forest types
Cluster F: Physical Geography,Himalayan physiography,✓,✓,✓,✓,,,,"Greater / Lesser / Shiwalik + specific ranges"

,,,,,,,,,
Cluster G: Human & Economic Geography,Census 2011 — national facts,✓,✓,✓,✓,7,Regular,🔴 HIGH,"State-wise literacy/sex ratio/density — compare with UK district version"
Cluster G: Human & Economic Geography,Agriculture — Revolutions,✓,✓,✓,✗,,,,"Green/White/Blue Revolution — architects + states"
Cluster G: Human & Economic Geography,Mineral & energy resources,✓,✓,✓,✓,,,,Coal/Iron/Petroleum belts + power stations
Cluster G: Human & Economic Geography,Transport networks,✓,✗,✓,✓,,,,Golden Quadrilateral + Freight Corridors
Cluster G: Human & Economic Geography,World Geography basics,✗,✓,✓,✓,,,,Continents/Oceans/Climate — basic but present
Cluster G: Human & Economic Geography,Industrial regions of India,✓,✓,✗,✓,,,,Mumbai-Pune / Bangalore-Chennai / Chota Nagpur

,,,,,,,,,
Cluster H: Indian Economy,Planning — NITI Aayog / Five Year Plans,✓,✓,✓,✓,9,Regular,🔴 HIGH,"Planning Commission → NITI Aayog transition"
Cluster H: Indian Economy,Banking — RBI / Monetary Policy,✓,✓,✓,✓,,,,"Repo / Reverse Repo / CRR / SLR — always 1-2 Qs"
Cluster H: Indian Economy,Fiscal Policy — Budget / Deficits,✓,✓,✓,✓,,,,"Revenue / Fiscal / Primary deficit + GST basics"
Cluster H: Indian Economy,Poverty & Unemployment,✓,✓,✓,✗,,,,"Tendulkar / Rangarajan committee + types"
Cluster H: Indian Economy,Money & Inflation,✓,✓,✓,✓,,,,"WPI vs CPI + demand-pull vs cost-push"
Cluster H: Indian Economy,International Trade — WTO/IMF/WB,✓,✓,✗,✓,,,,"BoP / Current Account / Capital Account"
Cluster H: Indian Economy,Agriculture sector — MSP/FCI/NABARD,✓,✓,✓,✓,,,,"PM-KISAN + crop insurance schemes"
Cluster H: Indian Economy,Tax structure — Direct vs Indirect,✓,✗,✓,✓,,,,"GST Council + cess vs surcharge"
Cluster H: Indian Economy,HDI & global indices,✗,✓,✓,✓,,,,HDI/MPI/GHI — India's ranking

,,,,,,,,,
Cluster I: Physics & Chemistry,Light/Sound/Heat — principles,✓,✓,✓,✓,8,Regular,🟡 MEDIUM,"UKPSC asks application-based: 'Why does X happen?'"
Cluster I: Physics & Chemistry,Electricity & Magnetism,✓,✓,✗,✓,,,,Household circuits + EM spectrum
Cluster I: Physics & Chemistry,Acids/Bases/Salts,✓,✓,✓,✗,,,,pH scale + daily life applications
Cluster I: Physics & Chemistry,Metals & Non-metals,✓,✗,✓,✓,,,,Alloys + reactivity series
Cluster I: Physics & Chemistry,Nuclear energy — fission/fusion,✓,✓,✓,✓,,,,India's nuclear program + power stations
