PHASE,DAY,DATE (fill your start date),THEME,MORNING (3 hrs),AFTERNOON (3 hrs),EVENING (1.5 hrs),PYQ PRACTICE,STATUS (✓/✗)
Phase 1: UK FOUNDATION,Day 1,,UK History — Dynasties,Katyuri Dynasty (origin/rulers/capital/temples),Parmar Dynasty (Garhwal/Ajay Pal/admin),Revision + short notes,Cluster 5 PYQs (all years),
Phase 1: UK FOUNDATION,Day 2,,UK History — Dynasties + Inscriptions,Chand Dynasty (Kumaon/rulers/capital shift),Panwar Dynasty + Inscriptions (Kalsi/Gopeshwar),Revision + short notes,Cluster 5 PYQs continued,
Phase 1: UK FOUNDATION,Day 3,,UK History — British Period,Gorkha invasion + Treaty of Sugauli 1815,British admin in Kumaon-Garhwal + Commissioner system,Compare with national 1857,Cluster 5 + Cluster C PYQs,
Phase 1: UK FOUNDATION,Day 4,,UK Movements — Part 1,Coolie-Begar + Early revolts,Chipko Movement (Gaura Devi + Bahuguna),Link to environment Qs,Cluster 8 PYQs (2016-2025),
Phase 1: UK FOUNDATION,Day 5,,UK Movements — Part 2,Maiti / Doodhatoli / Anti-Alcohol movements,Tehri Anti-Dam + Statehood Movement (1994),Movement chronology chart,Cluster 8 + Cluster 6 PYQs,
Phase 1: UK FOUNDATION,Day 6,,UK State Formation & Governance,Statehood facts (9 Nov 2000) + first officials,Governors/CMs + State symbols + Legislature,All 13 districts mapping,Cluster 6 PYQs (all years),
Phase 1: UK FOUNDATION,Day 7,,UK Geography — Physical,Glaciers + Rivers (origin/tributaries/Prayags),Mountain Passes + Valleys + Bugyals,Physiographic divisions,Cluster 3 PYQs,

Phase 1: UK FOUNDATION,Day 8,,UK Geography + Protected Areas,Lakes (type + location) + Doons/Tarai,National Parks — ALL with year + district + species,Govind trap: Sanctuary 1955 vs NP 1989,Cluster 1 + 3 PYQs,
Phase 1: UK FOUNDATION,Day 9,,UK Wildlife & Protected Areas,Wildlife Sanctuaries — complete list + locations,Biosphere Reserves + Ramsar Sites (updated),IUCN status of UK key species,Cluster 1 PYQs (all years),
Phase 1: UK FOUNDATION,Day 10,,UK District Data — Census,District-wise population/density/growth rate,Sex ratio + Literacy — highest/lowest mapping,Area + Forest cover by district,Cluster 2 PYQs — FORMAT practice,
Phase 1: UK FOUNDATION,Day 11,,UK District Data — Advanced,SC/ST population by district,Rivers/drainage by district mapping,Personal district master-chart,Cluster 2 continued,
Phase 1: UK FOUNDATION,Day 12,,UK Tribes & Culture,5 tribes (Bhotiya/Jaunsari/Tharu/Buksa/Raji) + PVTG,Fairs & Festivals (Nanda Devi Raj Jat),Folk dances + Art forms — region mapping,Cluster 4 PYQs,
Phase 1: UK FOUNDATION,Day 13,,UK Culture + Religious Sites,Char Dham + Panch Prayag + Panch Kedar,Literary figures (Pant/Nirala) + Languages,Freedom fighters + Social reformers,Cluster 4 + 10 PYQs,
Phase 1: UK FOUNDATION,Day 14,,UK Economy & Development,Major dams (Tehri/Vishnuprayag) + Hydro,Tourism circuits + Agriculture + Crops,Industrial areas (SIDCUL) + Minerals,Cluster 7 PYQs,
Phase 1: UK FOUNDATION,Day 15,,UK Current Affairs + Schemes,State schemes (last 3 years),Budget highlights + Awards,Disaster mgmt — Kedarnath + SDRF/NDRF,Cluster 9 PYQs,
Phase 1: UK FOUNDATION,Day 16,,⭐ REVISION DAY — All UK,Revise Clusters 1-5 (notes flip),Revise Clusters 6-10 (self-quiz),Full UK PYQ paper — timed,Score yourself,

Phase 2: HISTORY + POLITY,Day 17,,Ancient India — Part 1,Indus Valley (sites/features/economy),Vedic Period (Early vs Later comparison),Buddhism + Jainism (councils),Cluster A PYQs,
Phase 2: HISTORY + POLITY,Day 18,,Ancient India — Part 2,Mauryan Empire (Ashoka/Chandragupta),Gupta Period (science/literature),Sangam Lit + South Indian dynasties,Cluster A continued,
Phase 2: HISTORY + POLITY,Day 19,,Medieval India,Delhi Sultanate (5 dynasties — reforms),Mughal Empire (admin + culture),Bhakti & Sufi Movement,Cluster B PYQs,
Phase 2: HISTORY + POLITY,Day 20,,Medieval India + Transitions,Vijayanagara + Maratha Empire,Shivaji admin (Ashtapradhan),Regional kingdoms overview,Cluster B continued,
Phase 2: HISTORY + POLITY,Day 21,,Modern India — Part 1,1857 Revolt (causes/leaders + UK link),Early Nationalism (INC/Moderates/Extremists),Constitutional Acts (1773-1935),Cluster C PYQs,
Phase 2: HISTORY + POLITY,Day 22,,Modern India — Part 2,Gandhi movements (NCM/CDM/QIM),Revolutionary movements + leaders,Socio-religious reforms (complete),Cluster C continued,
Phase 2: HISTORY + POLITY,Day 23,,Modern India — Part 3,Peasant/Tribal movements (nat + UK),Partition (Cripps/Cabinet/Mountbatten),Post-independence consolidation,Cluster C final,
Phase 2: HISTORY + POLITY,Day 24,,Indian Polity — Part 1,Preamble + Fundamental Rights (article-wise),DPSP (classification + key articles),Fundamental Duties (all 11),Cluster D PYQs,
Phase 2: HISTORY + POLITY,Day 25,,Indian Polity — Part 2,Constitutional Amendments (15+ major),Schedules (5th/6th/8th/9th),Union & State Executive — powers,Cluster D continued,
Phase 2: HISTORY + POLITY,Day 26,,Indian Polity — Part 3,Parliament (procedures/powers),Judiciary (SC/HC/writs/PIL),Emergency (352/356/360 + 44th Amd),Cluster E PYQs,
Phase 2: HISTORY + POLITY,Day 27,,Indian Polity — Part 4,Panchayati Raj (73rd Amd + UK Act),Urban Local Bodies (74th Amd),Election Commission + Centre-State,Cluster E continued,
Phase 2: HISTORY + POLITY,Day 28,,Indian Polity — Part 5,Constitutional Bodies (CAG/UPSC/FC),Statutory/Non-statutory bodies,Sarkaria/Punchhi Commission,Cluster E final,
Phase 2: HISTORY + POLITY,Day 29,,⭐ REVISION — History,Ancient + Medieval revision,Modern India + Freedom Struggle,History PYQ mixed — timed,Self-assessment,
Phase 2: HISTORY + POLITY,Day 30,,⭐ REVISION — Polity,FR/DPSP/FD/Amendments,Governance + Panchayati Raj,Polity PYQ mixed — timed,Self-assessment,

Phase 3: GEO + ECONOMY,Day 31,,Physical Geography — Part 1,Plate Tectonics + Earthquakes (UK seismic zones),Indian Monsoon (Western Disturbance for UK),Climate zones + vegetation,Cluster F PYQs,
Phase 3: GEO + ECONOMY,Day 32,,Physical Geography — Part 2,Rivers of India (Himalayan vs Peninsular),Soil types (distribution + crops),Himalayan physiography,Cluster F continued,
Phase 3: GEO + ECONOMY,Day 33,,Human & Economic Geography,Census 2011 national (compare with UK districts),Agriculture (Green/White/Blue Revolution),Mineral & energy resources,Cluster G PYQs,
Phase 3: GEO + ECONOMY,Day 34,,Economic Geography + World,Industrial regions + Transport networks,World Geography basics,Map-based revision (locate all),Cluster G continued,
Phase 3: GEO + ECONOMY,Day 35,,Indian Economy — Part 1,Planning (NITI Aayog) + GDP concepts,Banking (RBI tools — Repo/CRR/SLR),Fiscal Policy (Budget/Deficits/GST),Cluster H PYQs,
Phase 3: GEO + ECONOMY,Day 36,,Indian Economy — Part 2,Money & Inflation (WPI vs CPI),Poverty & Unemployment (committees),Agriculture economy (MSP/FCI/NABARD),Cluster H continued,
Phase 3: GEO + ECONOMY,Day 37,,Indian Economy — Part 3,International Trade (WTO/IMF/WB/BoP),Tax (Direct vs Indirect + GST),HDI/MPI + global rankings,Cluster H final,
Phase 3: GEO + ECONOMY,Day 38,,⭐ REVISION — Geography,Physical Geography + Maps,Human/Economic Geography,Geography PYQ mixed — timed,Self-assessment,
Phase 3: GEO + ECONOMY,Day 39,,⭐ REVISION — Economy,Macro (GDP/Inflation/Banking),Schemes + sectors + international,Economy PYQ mixed — timed,Self-assessment,
Phase 3: GEO + ECONOMY,Day 40,,⭐ MINI MOCK,100-Q mock (national topics only),Analysis: identify weak clusters,Plan remedial for weak areas,Score + weak-area list,

Phase 4: SCIENCE + ENV + CA,Day 41,,General Science — Phys/Chem,Light/Sound/Heat + Electricity basics,Acids/Bases/Salts + Metals/Non-metals,Nuclear energy (India's program),Cluster I PYQs,
Phase 4: SCIENCE + ENV + CA,Day 42,,General Science — Biology,Human body systems,Diseases (Viral/Bacterial/Deficiency) + Vaccines,Nutrition (Vitamins — source + deficiency),Cluster J PYQs,
Phase 4: SCIENCE + ENV + CA,Day 43,,Science & Technology,ISRO (Chandrayaan/Mangalyaan/Gaganyaan),Defence tech (missiles classification),IT/Digital India + Biotech + Emerging,Cluster K PYQs,
Phase 4: SCIENCE + ENV + CA,Day 44,,Environment — Part 1,National Parks/Tiger Reserves (national list),Climate Change (Kyoto/Paris/COP/NDC),Environmental legislation (Acts + NGT),Cluster L PYQs,
Phase 4: SCIENCE + ENV + CA,Day 45,,Environment — Part 2,Biodiversity hotspots + IUCN categories,Pollution types + control,Wetlands/Ramsar (updated) + SDGs,Cluster L continued,
Phase 4: SCIENCE + ENV + CA,Day 46,,Current Affairs — National,Govt schemes (flagship — last 18 months),Awards (Padma/Sports) + Summits,Science + Defence developments,Cluster M — newspapers,
Phase 4: SCIENCE + ENV + CA,Day 47,,Current Affairs — UK + Integration,UK state schemes (last 2 years) + Budget,UK awards + Disaster + Sports,Integrate UK + national CA,Cluster 9 + M combined,
Phase 4: SCIENCE + ENV + CA,Day 48,,CSAT Basics,Reading Comprehension practice,Logical Reasoning (arrangements/coding),Quant Aptitude (percentage/ratio/time),Cluster N — aim 33%+,

Phase 5: REVISION MARATHON,Day 49,,UK Mega-Revision Day 1,"Clusters 1-3 (Wildlife/Districts/Geography)","Clusters 4-5 (Tribes/Dynasties)","Clusters 6-7 (State/Economy)",UK PYQ quick-fire,
