QNo,Subject,Topic,Question,OptA,OptB,OptC,OptD,Answer,Posted,
101,UK GK,Polity,What was the total number of seats in Vidhan Sabha for Uttarakhand in the undivided Uttar Pradesh?,20,21,22,23,C) 22,,
102,UK GK,Polity,Which of the following Vidhan Sabha seats is reserved for Scheduled Tribes in Uttarakhand?,Purola,Khatima,Nanakmatta,Jhabrera,A) Purola,,
103,UK GK,Polity,Which commission rejected Gairsain as the permanent capital of Uttarakhand?,Koushik Commission,Koshyari Commission,Dixit Commission,Rautela Commission,C) Dixit Commission,,
104,UK GK,Geography,Dunagiri mountain peak is situated in which district?,Pithoragarh,Chamoli,Almora,Bageshwar,A) Pithoragarh,,
105,UK GK,IT/Industry,Where is IT park established in Uttarakhand?,Haridwar,Pauri,Dehradun,Nainital,C) Dehradun,,
106,UK GK,Geography,In which of the following districts is the Nanda Devi peak situated?,Chamoli,Pauri Garhwal,Tehri Garhwal,Almora,A) Chamoli,,
107,UK GK,Land Reforms,In which year was the Zamindari Abolition and Land Reforms Act implemented in Uttarakhand?,2016,2017,2020,2021,D) 2021,,
108,UK GK,Migration,According to the Uttarakhand migration commission which district has the maximum number of Ghost villages?,Haridwar,Dehradun,Uddham S.Nagar,Pauri,D) Pauri,,
109,UK GK,Culture,Pappu Karki was associated with which form of art?,Music,Dance,Painting,Sculpture,A) Music,,
110,UK GK,Culture,Which among the following is not a traditional nose ornament of Uttarakhand?,Nath,Murkhi,Bulaak,Fuli,C) Bulaak,,
111,UK GK,Agriculture,Finger millet is known in Uttarakhand as?,Jhandla,Bajra,Cheena,Mandua,D) Mandua,,
112,UK GK,Polity,For how many days Sri Tirath Singh Rawat was the chief minister of Uttarakhand?,225,86,116,316,C) 116,,
113,UK GK,Polity,At present what is the total number of municipal corporations in Uttarakhand?,9,7,8,6,A) 9,,
114,UK GK,Culture,Chhapeli is a form of?,Song,Dance,Ornament,Animal,B) Dance,,
115,UK GK,History,In Uttarakhand the duty of a KAMIN was to?,Collect revenue in certain villages,Manage Water Supply,Collect Food from forests,Arrange Marriages,A) Collect revenue in certain villages,,
116,UK GK,Geography,Which of the following peaks is not situated in Uttarakhand?,Nandakot,Chaukhamba,Kula Kangri,Dunagiri,C) Kula Kangri,,
117,UK GK,Polity,Who was the first woman Governor of Uttarakhand?,Baby Rani Maurya,Mridula Sinha,Margaret Alva,Sheila Dikshit,C) Margaret Alva,,
118,UK GK,Polity,When was President's Rule enforced upon Uttarakhand?,27 March 2016,20 March 2017,28 March 2016,20 March 2016,A) 27 March 2016,,
119,UK GK,Polity,What is the percentage of reservation given to the State Revolutionaries?,10,20,2,5,A) 10,,
120,UK GK,Symbols,How many types of Brahma Kamal are found in Uttarakhand?,25,24,23,35,B) 24,,
121,UK GK,Polity,To whom does the Uttarakhand Public Service Commission submit its annual report?,Chief Minister,Governor,Finance Minister,Chief Justice of High Court,B) Governor,,
122,UK GK,Geography,Which district in Uttarakhand has the lowest area?,Rudraprayag,Champawat,Bageshwar,Dehradun,B) Champawat,,
123,UK GK,Geography,Which district in Uttarakhand has the largest area?,Haridwar,Pithoragarh,Tehri,Chamoli,D) Chamoli,,
124,UK GK,History,When were the districts Rudraprayag Champawat and Bageshwar formed?,1997,1996,1995,2001,B) 1996,,
125,UK GK,Polity,How many Lok Sabha seats are there in Uttarakhand?,7,3,4,5,D) 5,,
126,UK GK,Polity,What is the percentage of reservation given to players of Uttarakhand?,6,4,2,8,B) 4,,
127,UK GK,Polity,Who was the first Deputy Speaker of Uttarakhand?,Mridula Sinha,Vijaya Barthwal,Margaret Alva,Amrita Rawat,B) Vijaya Barthwal,,
128,UK GK,Polity,What is the amount of reservation given to women in the panchayats of Uttarakhand?,33%,50%,25%,45%,B) 50%,,
129,UK GK,Polity,Which is the winter capital of Uttarakhand?,Gairsain,Dehradun,Haridwar,Joshimath,B) Dehradun,,
130,UK GK,Culture,Who has sung the State Song of Uttarakhand?,Narendra Singh Negi,Anuradha Nirala,Anuradha Paudwal,Both (a) and (b),D) Both (a) and (b),,
131,UK GK,Polity,How many Loksabha seats are reserved for Scheduled castes in Uttarakhand?,1,13,2,4,A) 1,,
132,UK GK,Polity,What is the percentage of reservation given to Freedom Fighters of India in Uttarakhand?,5,2,10,12,B) 2,,
133,UK GK,Polity,Who was the first protem speaker of Uttarakhand?,Prakash Pant,Yashpal Arya,Sudarshan Agarwal,Qazi Moinuddin,D) Qazi Moinuddin,,
134,UK GK,Polity,What is the percentage of reservation given to Ex-servicemen in Uttarakhand?,2,6,5,10,C) 5,,
135,UK GK,Polity,Who was the speaker of the Interim Legislative Assembly of Uttarakhand?,Prakash Pant,Yashpal Arya,Sudarshan Agarwal,Qazi Moinuddin,B) Yashpal Arya,,
136,UK GK,Polity,Who was the speaker of the first elected Legislative Assembly of Uttarakhand?,Prakash Pant,Yashpal Arya,Sudarshan Agarwal,Qazi Moinuddin,B) Yashpal Arya,,
137,UK GK,Wildlife,Askot Wildlife Sanctuary is located in which district?,Pithoragarh,Champawat,Almora,Bageshwar,A) Pithoragarh,,
138,UK GK,Geography,Which of the following districts touches the maximum number of other districts of Uttarakhand?,Chamoli,Tehri,Pauri,Almora,C) Pauri,,
139,UK GK,Geography,At which number does Uttarakhand stand according to the year of formation?,28,27,26,24,B) 27,,
